Date,Inq
15-Jan,we have managers that heads a group but working more as a individual contributor instead as a manager issues are handled in a fire fighting mode improvement is very stagnant or slow i neeed a workshop that will put the concept to them training in theory mode will not definitely work so i need a workshop that could help them connect the dots rather than hoping that they will be the one to connect the dots
15-Jan,aligning frameworks for quality and safety improvements we have typically used the ihi model for improvement but i am seeking to incorporate lean and six sigma approaches and tools alignment of various tools is desired e g we currently use project charters but not a3's
15-Jan,managers and supervisors are currently firefighting instead of root cause problem solving
15-Jan,learn about lean management
15-Jan,"eliminating waste in purchasing new equipment
over engineering equipment design
process flow and value stream mapping process"
15-Jan,streamline make to order assembly processes
15-Jan,i want our organization to follow the lean methodology at all levels
15-Jan,vsm
15-Jan,need a condensed 1 day seminar that will give an overview of lean as well as how to set the pace in the organization for lean thinking in all aspects of our organization
15-Jan,looking to train new internal lean facilitators
15-Jan,continuous improvements to our processes
15-Jan,transform into hro high reliability org
15-Jan,general training
15-Jan,we have a group of engineers process improvement managers and labor management specialists that provides support to field operations members of the group have varying levels of lean experience or education and sometimes struggle to provide their clients with proper direction relative to lean
15-Jan,housekeeping issues organizational issues quality performance
15-Jan,i am currently responsible for asset optimization in the corporations and have executed a program requiring deep lean manufacturing skills we have trained 100s on the tools of lean but they have not mani gained the skill level to be effective in the new program
15-Jan,starting lean transformation for a medical device supplier need to align with growing lean customer base
15-Jan,transform the culture of 2000 of our consultants from one of billable hours to value creation for our customers
14-Dec,"not having enough coaches properly trained in coaching for development 

interested in the coaching skills for lean implementation leaders workshop who would teach this?"
14-Dec,introduction to the basic lean thinking journey
14-Dec,we are currently starting to introduce continuous improvement to the plant and would like to bring a expert to train supervisors/managers on the fundamentals of lean and how to lead kaizen teams the ci department is currently leading all the ci projects but we want to get all departments involve so they can lead more projects and everybody has the opportunity to lead a project
14-Dec,corporate office is located in dsm ia sales marketing product development scheduling etc operations is located in de and mexico operations has been involved in kata training for over a year communication and thinking patterns are not aligned between corporate and operations would like to narrow the gap and introduce lean leadership thinking across the board
14-Dec,"following the introduction of lean and good success at one division over the course of a year kaplan has chosen to begin their lean journey on a broader basis while the technical level of knowledge for lean practitioners can be delivered by myself and other internal staff we need a focused environment for our executives to learn how to lead a lean transformation while we are an education company we have a significant amount of ""manufacturing"" learning materials and internal processes bloated with waste we have embraced the books ""the people side of lean thinking"" robert brown ""lean thinking"" and lencioni's ""the advantage"""
14-Dec,streamline inefficient processes and reduce waste
14-Dec,we are looking for a partner to work with our tlc location in smyrna tn over the next 12 18 months to continue to evolve our culture to one based on lean principles we have worked with tssc during our initial transition we feel we are at another pivotal point and we are reaching out to see if what your organization has to offer might be a good fit for us
14-Dec,my company is 2 years into our lean voyage however our logistics team is struggling to onboard with lean logistics concepts due to lack of understanding and training
14-Dec,understanding and using a3's for problem solving
14-Dec,we are a consulting boutique applying certain lean principles to healthcare organizations one thing we are not having a good grasp of yet ist value stream mapping that is what we would like you to teach our 9 consultants
14-Dec,reduce unplanned ot in order to meet customer demand
14-Dec,we are looking to develop products faster and learn how to incorporate agile methods into product development that includes both custom hardware and firmware
14-Dec,lean concepts and terminology recognition for discussion and implementation
14-Dec,we would like to bring a lean vision to our company
14-Nov,hello i am planning a leadership summit for my team ~12 people we manage a team in online operations that has processes for several user issues across the globe i'd like to bring in a lean approach to improving these processes
14-Nov,our company is growing very quickly and our fulfillment center was poorly led until a year ago we have worked hard to successfully change the culture in the facility and now need to establish a facility wide mental model for work process etc
14-Nov,"leadership engagement 

we are two years into our latest journey and only minor progress has been made successful vs pilot was created with typical bottom line improvements but was not enough to spark curiosity within the leadership group a second more complex vs was created but the necessary improvements go against the will/wishes of leadership and has stalled"
14-Nov,we are going to launch a new erp system in the next 9 12 months we would like to streamline our manufacturing process prior to bringing in technology
14-Nov,we are a fast growing company we currently have $32m in construction in 2014 and will have potenitally $150m that will be in construcion in 2015 we would like help on maximizing our efficiency in the office and time management so we can be more efficient with our time and be more productive
14-Nov,lack of proper 5s practices on plant floor
14-Nov,no problem we are introducing processes within our medical services department and starting lean processes
14-Nov,support care managers in primary care offices across the state of michigan to develop processes to support better outreach and population management
14-Nov,we would like to learn about lean and how to implement in our company we believe our expenses are too high for the revenue that we create
14-Oct,we need to keep the current hoshin planning process going but capacity restrictions are limiting our ability to support the process across the company
14-Oct,help teach others the pdca using the a3 for problem solving
14-Oct,reinforce our in house lean program which we kicked off in 2013 by bringing in a custom training session
14-Oct,we are an industrial group dedicated to the production of leather mainly for footwear our group has tanning/finishing operations in china vietnam and we are starting operations in a new production facility in usa by beginning of 2015
14-Oct,lean understanding starting our journey in supply chain now expanding throughout operations globally need a better lean foundation
14-Oct,"end to end accountability for on time delivery 
increase customer otd and satisfaction"
14-Oct,cost reduction in cement manufacturing
14-Oct,group of relatively new team members who are versed in basic six sigma green belts but need more training in the tools and application of lean in healthcare and services
14-Oct,we want to implement the 5s in our company
14-Oct,improving our vsm techniques
14-Oct,we are a high mix/low volume company that would like to improve our lean currently we really don't do lean and i'd like to try and change that
14-Sep,"we are working on getting staff and supervisors more informed and involved in quality improvment and lean activities as a divisions we are working on developing quality performance measures and standard work breakdowns 

two of our staff members attended the gemba walk and and leader standard work workshops in june 17 18 2013 in seattle washington we found the workshops very insightful and felt the gemba walks workshop would be particularly helpful to our staff and supervisors"
14-Sep,how to improve 5s managemency
14-Sep,just learned about lean from a potential client's proposal and am interested in talking
14-Sep,raise awareness of lean in the company
14-Sep,"we were going to send two people for training in greg lane's improving high mix low volume workshop 

it was realized that it might be more effective to bring this training in house and allow more people to attend i will however need information on pricing and the deliverables to pass with our procurement group 

our team has the team challenge to take a&d operations to new levels of breakthrough"
14-Sep,we are implementing lean construction principles along with the last planner system on our project being built we are getting to the point where we would like to turn our improvement efforts inward and start implementing lean thinking on the administrative side of our business we are looking for help from an outside consultant who may be able to come into our office and help guide us through this process
14-Sep,we had a strong team five years ago but many have left we are broken and need to start from the beginning we need a facilitator
14-Sep,we are preparing ourselves for embarking on a lean journey and in order to domso in the best of ways we want to turn a first pilot team of 30 change agents into what will be an internal lean consulting team the companies related to gloria are headquartered in lima peru employ 30 000 people with annual revenues exceding 3bn and with operations through out south america it's a young group led by first generation entrepreneurs and we have now come to a point where we have to focus on our clients optimizing our value streama creating flow pull and perfection the founders of the group are lean to an extreme and they have always lived the lean philosophy without even knowing that lean exists
14-Sep,wew would like to discuss have kata trainig on site we are planning to submit a workforce training grant to fund the training
14-Sep,we want to grow and standardize our approach to cip our it employee expereince is very diverse and uncharted looking to take first steps as an organization
14-Sep,we have completed the first three 5's we are trying to standardize what we do and we want to be able to sustain
14-Sep,"educate production management staff and production group leaders so that we can effectively put in place standard work and sustain it across all of our value streams 

we have some experience however need to raise our level of knowledge of developing it and making sure it sticks"
14-Sep,we are building capability of our internal lean management system coaches this would be aimed at their onboarding to ensure deep understanding of lms principles concepts and tactics
14-Sep,i want to certify a group of individuals in the %'s methodology so they can lead a true cultural 5's implementation
14-Sep,looking for lean certification i e train the trainer
14-Sep,enterprise transformation
14-Aug,we are rolling out 5s and other lean initiatives want to help employees understand the concepts
14-Aug,i am looking for training for our manager of business processes please call to discuss
14-Aug,"moving the lean transformation from the top down the c suite team says all the right things but are not really sure what lean transformation is all about the company is truly focused upon the people and leading by example there are pockets of lean leaders in the field but for the most part are clueless about application of lean tools to make it a true cultural improvement 
operationally we are a $250k $300k professional staffing and outsourcing company with operations in 7 cities across the southeastern usa we have over 6000 associates in numerous manufacturing location/industries with 200+ full time employees one of the challenges includes maintaining the traction across various sites by aligning goals and expectations to the corporate vision"
14-Aug,knowledge is the problem we are starting a new adventure where we require a new and different sent of skills that will improve our overall performance
14-Aug,"a3 problem solving workshop

would like to know how much this onsite workshop would cost us"
14-Aug,i would like to investigate having the leader standard work 1 day class taught on site at the lexmark campus in boulder colorado
14-Aug,material and information flow
14-Aug,improve significant the parts flow to assembling drilling rigs
14-Aug,we are trying to build lean tools culture and system there has been some specific education and there are a few folks in the company with some experience & expertise however there is a need for more general education
14-Aug,we do not have enough training horsepower/resources to give our managers/supervisors/leads a basic level of understanding of lean tools and methodologies
14-Aug,as you know we are applying the a3 methodology and now we are investigating on how we could reinforce it's application by promoting it's use at our manufacturing sites
14-Aug,in depth training and certification in value stream mapping we have a diverse retail busienss that profits from participation in retail consumer packaged goods financial services and software development industries while presenting all the challenges of each
14-Aug,we feel that our business units are not executing well because there are no processes in place to drive strategy into the organizations there are very few leaders that can develop and execute a strategy and we have very little expertise at a corporate level to help the business units understand and use strategy deployment which we feel will help them better execute
14-Aug,lack of lean understanding traditional manufacturing
14-Aug,a 3 deployment for strategic planning
14-Aug,finding an instructor to come in to instruct/certify our directors operational managers senior project managers and enterprise architects in lean green belt
14-Jul,we are a 1 5bn manufacturing company which has grown through acquisition of many companies over many years we have a largely decentralized organization which is comprised of 9 business units or divisions we are at the stage now where i believe our next key to success is to focus on standardizing and driving waste out of the business while we leverage our size and strengths
14-Jul,can you tell me what kind of training you provide pertaining to change management/change agents? i am interested in what courses are offered what the pricing is supplied to approximately 6 individuals and the delivery options onsite web based etc ?
14-Jul,we would like to hold classes/workshops on a3 and value stream mapping
14-Jul,cbre is a large global fortune 400 firm very complex internal operations finance research marketing and hr systems and processes historically we have done very poor job of supporting the personnel who work in these divisions with proper training we have under invested in the platforms and have created a 'no slack' environment
14-Jul,we would like to teach all of our directors department heads and managers lean for health care to provide the highest quality care at the best value
14-Jul,our organization is currently hampered by functional silos fire fighting and rapid growth that impacts our culture and employee/customer sat
14-Jul,implementing lean at nook has been a challenging task for the past few years need to understand more about implementing value streams to improve the work flow and to learn new ways of conducting set up reduction in a job shop environment
14-Jul,want to implement lean to engineering/project management environment by updating exsiting procedures and develop new procedures with lean
14-Jul,training on the toyota kata approach to rapid problem solving to support our recent implementation of daily management
14-Jul,"use of lean methods in service/government environment 
value stream mapping va vs nva a3 pdca root cause analysis"
14-Jul,create a more visual understanding of the data at a given production line
14-Jul,we are looking to address a current gap in our product and technology development processes with respect to continuous improvement/quality
14-Jul,inefficiency
14-Jul,"doosan infracore produces many kinds of construction equipment 
our company has started the lean transformation with mckinsey from 2005 
we made many improvement with lean tft in our assembly line to 2008 at that time we had 10 lean experts through our education system 
after 2008 we did not continue to train our person now we have just few lean experts and we lost kaizen momentum 
we want to train a professional person again and expect that they will be our new momentum of innovation 
most important thing is we don't want to stop lean again 
we want to work with the professional not just introducing lean tools"
14-Jul,we are training our next wave of master black belts in advanced lean problem solving my challenge is to find subjects that are new and advanced for our trainees we cover all of the basic lean subjects in our gb and bb courses
14-Jun,production leadership teams are not level set on lean understanding culture methods or coaching
14-Jun,"introduce/train production and shop staff in 5s
this will be first step in our long term goal of implementing lean/kaizen enterprise wide"
14-Jun,to refine the way we identify and attack our problems by improving our critical thought processes
14-Jun,underdeveloped coaching discipline across the site
14-Jun,lean leaning to a new team inside the production development organization goal of team is to be production experts
14-Jun,we are having issues with the processes from admission to discharge that is affecting our billing and revenue cycle
14-Jun,looking for training on the lean concepts to help my employees identify processes which could be improved overall trying to increase efficiency
14-Jun,output improvement
14-Jun,identify internal/external processes that can be streamlined to improve efficiencies for our regional office and/or our stakeholders
14-Jun,more educating the lean steering committee currently we are trying to make lean a part of the culture and trying to get lean into everyday life for the employees of westech but there are very few committee members who have had any formal training on lean
14-Jun,"we are a small printer and custom products manufacturer in a small space we are trying to execute a 3 year strategic growth plan we've tried implementing 5s in our building to increase efficiency and make the small space more user friendly we've been able to accomplish some tasks but can't seem to get over the hump 

i'm not sure we could afford it but we are looking for an outside voice to give us better direction and get people to understand what needs to be done"
14-Jun,we would like to find out what lean it is about and how we can benefit from it in our organization
14-Jun,we are in the process of documenting our processes workflow and standard operating procedures on paper so that our software developers can program them into automation we want everyone thinking on the same page from this point forward
14-Jun,we want to initiate a program to engage associates in our continuous improvement journey but understand we need to educate leadership first on how/skills to achieve people's engagement
14-Jun,we want to introduce lean manufacturing to our team
14-Jun,increase quality production safety and efficiency
14-Jun,how to complete the value stream mapping for business processes on present and future state
14-May,lack of experience in performing effective gemba
14-May,productivity and scrap
14-May,i would like to get lean 101 training for my company
14-May,our big pciture goal is to make the cultural shift necessary to implement ipd lean and bim throughout us operations
14-May,we are the financial operations department and we are implementing the kata method to streamline and improve a number of processes ie invoicing
14-May,we have a joint collaborative with 18 different nursing homes we are focused on pdsa root cause analysis value mapping and the 5s
14-May,we would like to educate all supervisors on lean manufacturing
14-May,overall training
14-May,"we want to reduce lead time install value streams in the facilities 
large batches rythm wheel concept
small batches and high changeovers focus in improving changeovers

other ficus is on lean sales do you have anything related to that?"
14-May,we want to learn the methodology of lean coaching and/or toyota kata
14-May,educational gap in identifying lean capabilities at various levels of our production organization
14-May,organizationally we are just starting our lean journey and bart leadership would like to have several levels of lean training and certification e g green belt black performed on site here in the san francisco bay area
14-May,raising awareness of our executive team understanding lean concepts and how they apply in their day to day activities
14-May,lei is already partnered with cardinal our sister site in mississippi realized some dramatic improvement in engagement and buy in by sending a handful of leads and supervisors to a lean certificate program at ms state we are exploring a similar approach locally i have a copy of the course overview if interested
14-May,process takes too long which causes waste of productive time and resources
14-May,i like the helpful information you provide for your articles ill bookmark your blog and check again right here frequently i am quite certain ill be informed many new stuff proper right here best of luck for the next gbkegcddbgdkcebf
14-May,lack problem solving methodoligies and a format to frame problems with work plans to resolve the issues
14-Apr,we have lost sight of the people on our path to being a tier 2 supplier
14-Apr,we are actually beginning our lean transformation journey so we are looking for training to educate our transformation leaders and coaches for our sites
14-Apr,transforming the organization to a lean enterprise
14-Apr,we are looking for twi on job instructions
14-Apr,we need at one of our business units in ksa the virtual stream mapping workshop
14-Apr,"i want to explore the 
 possibilitydetails
 cost implications/person
 availability times
of having an onsite training on coaching and change agents for lean practitioners"
14-Apr,we are a statewide electric and water utility state owned with 1725 employees we want to develop our employees to be problem solvers process improvers decision makers and think like owners the company is 80 years old with a culture in which solutions to process problems or business challenges have always come from the top down we have a workforce stocked with managers rather than leaders we want to realize real results from a continuous improvement initiative and we also want to help the culture evolve we just spent the day at duke energy learning about their performance excellence model and it appeals we need the tools and the program for scaling their use but more important we need the behavior modification to support those tools
14-Apr,we are at the beginning of implementing lean manufacturing to our plant we are in the midst of implementing 5s and working through how we will sustain that the belief is that leader standard work for our floor supervisors is key
14-Apr,"teach my team how to use and implement lean principles in accounting processes 
how to better problem solve with root cause analysis tools
lean accounting principles"
14-Apr,"we are from it software development our department has around 400 resources doing requirement analysis design development testing & deploying software 
we have around 38 manager section manager director general manager 
improvement is not happening systematically but rather a response to specific events such as major complains disaster etc
we want to create the awareness of making process improvement as habit and give the manager tools how to do it and start the journey from there"
14-Apr,our company is a automobile manufacturing company we deal with coils stamping and robots by bringing lei to our company we would like to learn more about robots hyundai and kawasaki and how to produce in an efficient way
14-Apr,we are interested in booking an onsite offering of coaching for lean problem solving in our toronto office
14-Apr,having quality and continuous improvement be a part of our every day work and not having quality and continuous improvement be a project healthcare staff spend a majority of their day providing care to the patient how does healthcare staff and leadership change the culture to make improvement our everyday work interested in the improvement kata classes
14-Apr,we would like to provide our leadership team with a refresher course in lean principles coupled with real life application examples and best practices guidance toward continuous improvement
14-Apr,"we want a consultant that can help us to run a event to 
plant manufacturing re lay out define future state layout of our manufacturing plant eliminating current products/processes and adding new product lines to our plant 
curently a 220 employee plant 
total facility 238 000 ft2
core competencies single/progressive stage stamping single & multi wire forming fastener collation wire drawing staple band production nail manufacturing pneumatic tool assembly automation/application support"
14-Apr,to better train and develop our front line leaders
14-Apr,we're looking to introduce a structured problem solving training for several levels of people
14-Mar,"change the culture from ""this is how we've always done it"" to one including quantitative analysis"
14-Mar,teach staff lean principles specific areas of interest kaizen muda basic training on process we have several out patient primary care clinics essentially a service company not manufacturing how to eliminate waste from service cycle? how to improve patient experience? how to eliminate waste from physicians non clinical processes? wait times etc
14-Mar,better use of our lean tools through better coaching tools include 5 why a3 pdca standard work and similar
14-Mar,we are searching for advanced 5s training for our 5s coordinators
14-Mar,the manufacturing engineering group is comprised of people who have not been exposed to lean manufacturing the company is currently experiencing solid growth but has difficulty in achieving improved performance to meet growing demand the manufacturing process is segmented and there is waste at all levels customer perception is lack luster
14-Mar,fast growing dealership organization growing too fast and do not have processes in place to control and support us
14-Mar,"we need to expedite the introduction of lean and shift the culture to embrace and use the concepts of lean we have done basic training but the momentum is not there 

perhaps there is opportunity to work on a real life issue as it is best to learn by doing"
14-Mar,a change of environment/culture we've done rapid cycle improvement and need to take it to the next level
14-Mar,lack of shared focus across our leadership team retarded deployment of strategic initiatives
14-Mar,"a to become the most operationally capable company in the world 
b not all members of the team have a level of knowledge where they grasp the power of lean thinking"
14-Mar,leadership development
14-Mar,i am not sure i am just requesting information for our management team
14-Mar,improve knowledge on lp and vsm
14-Feb,"we have deep needs in both lean and six sigma and are early in our journey we are looking for on site training management is currently focused on the concept of black belt certification but i don't think they know what exactly they want/need 
nisource is a regulated utility gas company and thus has some compliance criteria that make the waste/value add waters very muddy additionally we are classically data rich knowledge poor 

i had a rewarding experience with jim luckman when i was with another company and found his initial discussion and assessment of our needs to be very helpful i would welcome a similar dialogue here"
14-Feb,developing business processes and tools to streamline our operations make us more effective and serve our customers better
14-Feb,we were interested in the lean upstream workshop but it appears to be sold out our gm would like to possibly bring the workshop in house and is interested in pricing
14-Feb,few standards that are not sustained through leader standard work
14-Feb,we are a small and rapidly growing developer and manufacturer of spray applied liners as we grow we want to maintain our position as a high end formulator and developer of products to meet our customers needs we are introducing lean principles to manufacturing administration product development and quality control we want to introduce better flows of information better collection recording and use of knowledge
14-Feb,at this time i don't ave a specific example our company tries to use the lean ways in all aspects of our business
14-Feb,one thing would be making sure everyone in the company understands why it is important to for our company to always move forward and improve current work flow processes
14-Jan,excess inventory high labor costs overtime
14-Jan,"i have two seperate problems 
1 alignment and skill level of a3 coaching varies among colleagues
2 skill level used in coaching others to problem solve varies amongst the lean coaches"
14-Jan,strategically transform the organization to a culture of improvement
14-Jan,problem solving for my management team
14-Jan,looking for instruction through theory and participative examples for determining and implementing corrective actions for customer compliants
14-Jan,we would like to expand our use of a3 thinking
14-Jan,good business management and strategy
14-Jan,the initial area would be the use and flow of technicians mas that assist our doctors the number of steps necessary for each exam make it very difficult to train new technicians and difficult for the technician to keep up with the physician
14-Jan,no lean experience and minimal expertise need to develop a culture of lean step 1 is introduction to lean principles for key management personnel
14-Jan,we want to teach lean principles and incorporate into our production
14-Jan,"we are a $14m privately held company making that transition from ""start up"" to ""grown up"" and we'd like to adopt lean principles before we begin the iso9001 2008 documentation and certification process"
14-Jan,i'm interested in bringing the key concepts of lean to ihi for a number of reasons first several years ago a lean consultant volunteered to work with us for a year to help us improve our internal processes at that time i was the lean facilitator and all staff learned and applied lean concepts and tools to our work since then we have brought on new staff but have not had the same training and application so i'd like to introduce those staff to lean also similar to lei we have a service/admin/transactional environment and we have faced challenges with trying to apply lean to our environment i'd like to be able to customize the concepts to our type of work to make this translation from manufacturing to a service environment more explicit last our organization teaches quality improvement to health care providers and we are constantly asked about lean we'd like to understand the key concepts better to enhance our own knowledge and teaching and service to our customers
14-Jan,we are looking to improve a few of our business processes such as scheduling and degree auditing
14-Jan,we are looking to more fully implement kanban as a materials philosophy and i need to create a common base of understanding
14-Jan,not a problem in particular just to implement the lean culture and get all its benefits i have 2 months in this new position and the reason for the change i was a construction project manager is because i'm industrial engineer and my bosses expect me to help the company to make the necessary changes in order to become a manufacturing plant
14-Jan,continue the education of our group as to how to apply lean principles to our businesses
14-Jan,"two fold we would like to educate ourselves specifically in lean for healthcare we are an architectural firm that designs healthcare facilities 

we would also benefit from introducing lean principles into our own work methodology"
14-Jan,we are working to advance the lean skills of our master black belt community by delivering an advanced lean topics training week
13-Dec,provide back lean training to managers within our department
13-Dec,training to learn how to program and deal with high mix low volume production
13-Dec,mindset i have our team of 20 in houston for a 3 day training and would like to have a 1 day course on lean manufacturing and thinking
13-Dec,improve on time delivery by removing waste improving flow and visual management
13-Dec,apply value stream mapping tools to identify opportunities and effective implementation of counter measures
13-Dec,i would like you or someone to recommend a hands on consultant to help us lead kaizen events in our company we have initiated quite a few changes but we need revitalization
13-Dec,dead river company is an energy marketer our company has experienced tremendous growth through acquisitions we are a relatively large company that is not sufficiently leveraging our size as a competitive advantage as we have acquired competitors we have not standardize our processes each of our market offices have their own processes our interest is in using a lean approach to standardize our work if we are going to standardize let's do it right and get the most efficiency while reducing defects
13-Dec,currently the lso team need further knowlege and skills on lean transformation
13-Dec,training for senior management on lean thinking and lead the continuous improvement
13-Nov,"having leaders at all levels ""go and see"""
13-Nov,"rapid changes in industry need agility
reduced reimbursement must seek efficiency
increased quality expectations must increase transparency and performance"
13-Nov,i am looking at setting up lean training classes for our employees
13-Nov,manufacturing troubleshooting and problem solving production planning supply chain
13-Nov,lean certification
13-Nov,we are interested in the two day key concepts of lean class offered and would like to request a quote for an on site training workshop
13-Nov,i have in my factory a new logistic manager young but very good i would like for her to take a small training about toyota kata and then run a workshop into the site about value stream mapping i would like to take all the full supply chain and understand togheter how to run in an effective way the vsm in order to create an agile supply chain i would liek her to lead this effort
13-Nov,we want to increase our skill in problem solving so we look for a company that can provide a qualitative problem solving trainings at our company we already implemented lean for some years with excellent successes in some areas but we are weak in pss
13-Nov,lean coaching and employee engagement
13-Nov,i'm looking for standardized work training from sammy obara and leadership standard work from joe murli either on site or at the dallas dates we just might have enough people to have an on site be better plus if possible i would prefer to not have to wait until end of january 2014
13-Nov,our company is looking to expand our sales and output dramatically in the next 5 7 years and we believe that utilizing lean manufacturing can help us get there but most of our employees have no idea what lean is so we need an introductory project to familiarize people with the concept and benefits
13-Nov,solidify an agreed upon product development and project managment process
13-Nov,project management
13-Nov,value stream mapping
13-Nov,lean in low volume high mix plants
13-Oct,beginning lean training for a group of facility wide leaders
13-Oct,we are a government tertiary hospital based in the kingdom of saudi arabia with 2 sites riyadh & jeddah 2 years ago 9 corporate teams have started practicing the 100 day challenge of rapid improvement testing rit to deploy lean methodology and improve our processes
13-Oct,application of lms in particular strategy deployment in the healthcare sector
13-Oct,looking at moving from a route optimization contact centre model to a case management mode
13-Oct,we are just at the beginning of our lean journey and we would like to be trained on the concept of lean
13-Oct,improved productivity and error reduction
13-Oct,there is a need to better align strategies initiatives metrics projects and individual objectives to focus the organization the organization needs to be educated on policy deployment process to close this gap
13-Oct,change management and coaching change
13-Oct,"we are looking to partner with a company for a long term lean thinking / continual improvement on site training program we are exploring grant opportunities to support this important initiative for a january 2014 launch 
a train the trainer component would be essential"
13-Oct,leadership training for first line leads and managers in regards to lean/ci manaufacturing
13-Oct,quality improvement
13-Oct,"we are in the incipient stages of rolling out an operational excellence practice and initiative lean/six sigma+ in the cfo organization which includes finance and facilities a key part of the charter for the group is to enable the better management of the finance function as a business as well as help optimize the traditional operations and transactional processes in the space 
in addition to some targeted improvement efforts the company in general and the cfo group inm particular are at a stage in growth where a broader understanding of process and continous improvement principles is expected to be of great value as people begin to apply them in their day to day work"
13-Oct,we are wanting to incorporate lean philosophy in our pmo and apply that to all new projects and processes
13-Oct,"we are planning a supplier conference and we are investigating ideas for training our suppliers we conducted internal jtekt kaizen training however we are discussing utilizing outside trainer s 
we are in the planning stages and would seek your input on a strategy"
13-Oct,"logistics and supply chain our operations department 
executive management"
13-Oct,manufacturing
13-Oct,begin a lean transformation introduce principles and methodologies of lean thinking/lean house operating excellence quality management aligned and focused on people processes and purpose
13-Sep,we want to deploy lean principles in a part of our organization and need help with training
13-Sep,etisalat is the incumbent telco operator in uae we are currently at a phase of transforming the internal operations to boost customer experience reduce cost and increase revenue we believe that lean theories and practices can help us grow on that domain if we set the write culture and train the right people and that what we want your help in
13-Sep,we are looking for opporunities to streamline resources by reducing rework and unnecessary steps
13-Sep,"i am looking to get our it infra ops organization able to use value stream maps and other lean tools to start eliminating waste from our products and services we'd like to go through a couple of our processes e g ""build a server"" or ""deploy a jvm"" and see how we can make them more efficient and effective and we like to be able to teach the skills to other colleagues"
13-Sep,leader standard work
13-Sep,create and promote excellence through continual improvement of our products and its processes with success and profitability as our goal in an automotive environment
13-Sep,increase capacity of current staff and space to meet increasing demand
13-Sep,"several years ago we sent folks up to training sessions on the a3 process now that we've got some more folks working on them here i'd like to be able to get formal training for them in this i think what i'd like is to be able to hold a ""managing to learn"" session here in newport ri if possible"
13-Sep,engage the team in the lean process improvement efforts currently undetaken
13-Sep,we are interested in having several workshops conducted in house would like to be contacted quickly to get more information as things are moving quickly on our end and have gaps to fill thank you
13-Sep,5s awareness and implementation
13-Sep,i want myself and my plant leadership team to become more knowledgeable in lean techniques practices and capabilities
13-Sep,lean management overview and training
13-Sep,high mix low volume model value stream mapping leam assembly cells
13-Sep,continuous improvement specifically toyota kata as discussed in mike rother's book
13-Sep,we are planning on starting up a team to review our clinical operations workflow for patients and associates and look where we can gain efficiencies in our workflow for throughput and also improve our patients and physicians expertise
13-Sep,total operation from customer requirement to delivery goods to customer including lean operation lean supplier lean office etc
13-Aug,continuous improvement lean tools
13-Aug,is lean something our company should be considering?
13-Aug,waste reduction
13-Aug,improve on time delivery by optimizing material and information flow
13-Aug,cost out
13-Aug,product development the target participants are leaders in the product development/design/engineering area for a large apparel manufacturer they will be visiting oregon to review product process at nike and see lean examples at boeing portland and daimler trucks portland would like to take one day and do a class on lean product development while they are here
13-Aug,as part of our lean transformation´ our company would like to adopt a3 as preferred project management / probelm solving tool as well as reporting tool at executive meetings as well as leadership and management meetings
13-Aug,we have a group of regional vice presidents who provide peripoerative supply mnangement consulting services for hospitals across the us we are interested in providing training and certification for that group of people and would like to discuss cost venue and program needs
13-Aug,we are focusing on efficiency and process improvement in several areas and some of our new employees myself included could benefit from some lean basics
13-Aug,lean transformation technical and cultural
13-Aug,lean executive training last year jim luckman from lean transformation group conducted this training and we would be happy to consider mr luckman again
13-Aug,they need a value stream map workshop
13-Aug,i want to have eric ethington conduct a managing to learn workshop for our region process experts in akron we would also have some of the plant problem solving coaches in for the session
13-Aug,expanding our hands on knowledge of leading kaizen events & lean principles
13-Aug,"long time legacy processes and ""sacred cows"" that do not provide the return on investiment that will sustain business"
13-Jul,improve profitability and cash flow of assembly green field and acquisitioned plants by lean transformation and/or toc
13-Jul,introduction to lean training
13-Jul,pdca training with strategy deployment vsm and a 3 problme solving as adopted tools
13-Jul,corporate accounting is struggling with getting their books closed at month end
13-Jul,implement an operational excellence program
13-Jul,need to get the team educated and engaged in a formal program for solving business problems treasures using lean thinking and the kaizen approach
13-Jul,"corporate has asked us to go from production leads to new and improved lean leads team leaders who manage our manufacturing process and i would like to provide this group with some additional training to become better leaders identifying ci opportunities and improve over all problem solving skills 

i thought your session 

leading in a continuous improvement culture engaging and coaching problem solving thinkers 1 day class 
 
fit this requirement"
